,name,named_after,label,x,y
3732,Magarach,"National Institute of Grape and Wine ""Magarach""",academic institution,44.4941666666667,34.0052777777778
3735,Ries,Nördlinger Ries,impact crater,48.866666666667,10.583333333333
3736,Verona,Verona,city,45.4386111111111,10.9927777777778
3747,Arecibo,Arecibo Radio Telescope,infrastructure,18.3441666666667,-66.7527777777778
3752,Shibecha,Shibecha,second-level administrative division,43.3033055555556,144.600638888889
3755,Kyoto,Kyoto,city,35.0116111111111,135.768111111111
3771,Onizaki,Onizaki,former municipality,34.9155277777778,136.828222222222
3773,Marathon,Marathon,city or town,38.155,23.963611111111
3775,Korinthos,Corinth,city,37.9386111111111,22.9272222222222
3779,Xuyi,Xuyi County,county-level division,32.99836,118.51329
3780,Uenohara,Uenohara,city,35.6301944444444,139.108555555556
3783,Suruga,Suruga Province,former administrative territorial entity,35.1275,138.48666666667
3786,Ashizuri,Cape Ashizuri,coast,32.723333,133.02
3790,Otava,Otava,stream,49.10979,13.492157
3792,Taihaku,Taihaku-ku,third-level administrative division,38.224444444444,140.87722222222
3797,Kamuimintara,Daisetsuzan Volcanic Group,volcanic landform,43.65,142.85
3803,Bilk,Bilk,administrative territorial entity,51.2081,6.77667
3805,McGraw-Hill,McGraw-Hill Telescope,telescope,31.95,-111.61666666667
3806,Goldstone,Goldstone Deep Space Communications Complex,geographical feature,35.426666666667,-116.89
3811,Muroto,Muroto,city,33.2899444444444,134.152027777778
3817,Bornholm,Bornholm,geographic location,55.125,14.916666666667
3821,Oizumi,Ōizumi,former municipality,35.8626944444444,138.388416666667
3823,Nusamaibashi,Nusamai Bridge,bridge,42.981033,144.385564
3824,Bihoro,Bihoro,second-level administrative division,43.82425,144.107444444444
3827,Sayama,Sayama,city,35.8529722222222,139.412194444444
3831,Nikitibotania,Nikitsky Botanical Garden,GLAM,44.5094,34.2328
3837,Otaru,Otaru,city,43.1907222222222,140.994361111111
3841,Louvre,Louvre Palace,architectural structure,48.861028,2.335886
3845,Voronezh,Voronezh,city,51.671666666667,39.210555555556
3853,MIT,Massachusetts Institute of Technology,private educational institution,42.3597222222222,-71.0919444444445
3864,Konko,Konkō,former municipality,34.5430555555556,133.624583333333
3866,Massachusetts,Massachusetts,electoral unit,42.3,-71.8
3872,Piestany,Piešťany,city or town,48.583333333333,17.833333333333
3880,Kurashiki,Kurashiki,city,34.5850833333333,133.772111111111
3883,Akan,Akan Mashu National Park,administrative territorial entity,43.51666667,144.26666667
3890,Ainonai,Ainonai,former municipality,43.7972777777778,143.75325
3892,Vulkaneifel,Volcanic Eifel,landform,50.283333333333,7
3899,Bickley,Bickley,suburb,-32.008,116.091
3901,Tambov,Tambov,city,52.7230555555556,41.4538888888889
3909,Chaonis,Chions,commune of Italy,45.85,12.716666666667
3910,Shibuya,Shibuya-ku,second-level administrative division,35.6636666666667,139.697722222222
3913,Chile,Chile,state,-33,-71
3921,Oumu,Ōmu,second-level administrative division,44.5825833333333,142.962027777778
3924,Tentaikojo,Tentaikojo,organization,43.06555556,141.36305556
3927,Sumoto,Sumoto,city,34.3424722222222,134.895638888889
3930,Yebes,Yebes,LAU 2,40.534722222222,-3.1097222222222
3935,Yoshinogawa,Yoshino River,stream,34.078497222222,134.60072222222
3937,Strasbourg,Strasbourg,city,48.573333333333,7.7522222222222
3946,Mediolanum,Milan,city,45.466944444444,9.19
3958,Novara,Novara,city,45.45,8.62
3966,Jizera,Jizera,stream,50.876382,15.29241
3968,Berounka,Berounka,stream,49.7538888888889,13.3905555555556
3970,Kagoshima,Kagoshima,city,31.5968055555556,130.557138888889
3980,Iwaizumi,Iwaizumi,second-level administrative division,39.8431388888889,141.796388888889
3983,Burnaby,Burnaby,city,49.25,-122.949167
3989,Tottori,Tottori,city,35.4943888888889,134.221611111111
3997,ORO,Oak Ridge Observatory,observatory,42.505,-71.5583
3998,Rovereto,Rovereto,municipality,45.883333333333,11.034166666667
4001,Asaramas,Argentine Association of Amateur Astronomers,group of humans,-34.60483333,-58.435
4010,Hermitage,Hermitage Museum,organization,59.9405555555556,30.3136111111111
4013,Aretta,Åretta ungdomsskole,lower secondary school,61.101153,10.476708
4017,Hobetsu,Hobetsu,former municipality,42.7612222222222,142.13375
4019,Luyi,Luyi County,county-level division,33.86042,115.48092
4020,Gembloux,Gembloux,city,50.5594,4.6922
4028,Ako,Ako,city,34.7549722222222,134.390333333333
4031,Veveri,Veveri,fourth-level administrative division,45.45,8.6166666666667
4036,Ohre,Ohře,stream,50.094198,12.233529
4038,Miho,Miho,former municipality,34.9995555555556,138.520222222222
4040,Stradonice,Stradonice,municipality,50.291440774297,14.047009078877
4045,Ventura,Ventura,city,34.26778,-119.254206
4049,Megantic,Mont Mégantic Observatory,observatory,45.4558,-71.1525
4050,Tsubetsu,Tsubetsu,second-level administrative division,43.7062777777778,144.025305555556
4053,Gubbio,Gubbio,municipality,43.3517882,12.5772674
4056,Knushevia,Taras Shevchenko National University of Kyiv,publishing company,50.441903,30.511314
4063,Riverside,Riverside,city,33.9822222222222,-117.3725
4072,Fukaya,Fukaya,city,36.1974722222222,139.2815
4076,Shikanosima,Shika Island,island,33.675,130.3
4077,Zhoushan,Zhoushan,city,29.98869,122.20488
4081,Yamatai,Yamatai,former administrative territorial entity,34.5166666666667,135.85
4083,Tomsk,Tomsk,city,56.488611111111,84.952222222222
4090,Texstapa,"Texas Star Party, Inc.",architectural structure,30.608381,-103.950448
4094,Yahagi,Yahagi River,stream,34.921077,137.113882
4096,Lac d'Orient,Lac d'Orient,landform,48.2725,4.33
4100,Kourovka,Kourovskaya observatory,observatory,57.03671389,59.54727222
4101,Erfjord,Erfjord Municipality,former municipality,59.35,6.21666667
4103,Roccapalumba,Roccapalumba,municipality,37.8,13.633333333333
4106,Ireland,Ireland,geographic location,53.351,-7.921
4111,Saroma,Lake Saroma,landform,44.166666666667,143.71666666667
4115,Tokeidai,Sapporo Clock Tower,organization,43.062602,141.353681
4124,Hippocrene,Hippocrene,natural geographic object,38.32004444,23.03116389
4127,Korsor,Korsør,city,55.3283,11.1397
4131,Cynus,Cynus,location of discovery,38.72333333,23.0625
4136,Okushiri,Okushiri Island,geographic location,42.149166666667,139.46722222222
4140,Wakabayashi,Wakabayashi-ku,third-level administrative division,38.244166666667,140.90083333333
4145,Nibutani,Nibutani,neighborhood in Japan,42.6361,142.16
4146,Gyoda,Gyoda,city,36.1388888888889,139.455638888889
4149,Rumoi,Rumoi,city,43.9409722222222,141.637027777778
4152,Okutama,Okutama,second-level administrative division,35.8095555555556,139.096194444444
4155,Moiwa,Mount Moiwa,natural geographic object,43.022138888889,141.32211111111
4157,Maruyama,Mount Maru,natural geographic object,43.04722222,141.31638889
4159,Piemonte,Piedmont,first-level administrative division,45.25,7.9166666666667
4164,Stjerneborg,Stjerneborg,observatory,55.90688,12.69704
4165,Yoichi,Yoichi,second-level administrative division,43.1953055555556,140.783527777778
4168,Dortmund,Dortmund,city,51.513888888889,7.4652777777778
4176,Oloosson,Olooson,city,39.8987,22.1875
4179,Tsurui,Tsurui,second-level administrative division,43.2299444444444,144.321083333333
4182,Bocacara,Bocacara,geographic location,40.674166666667,-6.4025
4187,Irurita,Irurita,human settlement,43.1311388888889,-1.54708333333333
4192,Kwasan,Kwasan Observatory,observatory,34.993745,135.793587
4193,Giza,Giza,city,29.987,31.2118
4200,Brisbane,Brisbane,city,-27.467777777778,153.02777777778
4206,Onnetoh,Lake Onnetō,lake,43.38444444,143.97
4207,Erimomisaki,Cape Erimo,coast,41.924444,143.248333
4209,Kanaya,Kanaya,former municipality,34.8345833333333,138.126944444444
4211,Mishima,Mishima,city,35.1185,138.918555555556
4217,Neagari,Neagari,former municipality,36.4490555555556,136.458444444444
4219,Virgiugum,Jungfraujoch,mountain pass,46.547777777778,7.9830555555556
4220,Kamenka,Kamianka,city,49.033333333333,32.1
4227,Casleo,Leoncito Astronomical Complex,observatory,-31.7986,-69.2956
4228,Awa,Awa Province,former administrative territorial entity,33.93833333,134.24916667
4231,Takachiho,Takachiho,second-level administrative division,32.7116666666667,131.30775
4234,Saale,Saale,stream,50.1206,11.8306
4236,Kameoka,Kameoka,city,35.0135277777778,135.573527777778
4239,Williwaw,Mount Williwaw,natural geographic object,61.104166666667,-149.51361111111
4241,Queen's,Queen's University,public university,44.225,-76.495
4246,Hamatonbetsu,Hamatonbetsu,second-level administrative division,45.1237777777778,142.359777777778
4249,Tunguska,Tunguska event,process,60.916666666667,101.95
4251,Yamanashi,Yamanashi Prefecture,region,35.6641388888889,138.568416666667
4256,Korankei,Kōrankei,fluvial landform,35.1318416666667,137.313369444444
4258,Kiyosato,Kiyosato,geographical feature,35.9180555555556,138.435
4261,Oberkochen,Oberkochen,city,48.783888888889,10.105277777778
4264,Rundetaarn,Rundetaarn,organization,55.68137,12.57579
4270,Sanya,Sanya,city,18.2533333333333,109.503611111111
4273,Salavat,Salavat,city,53.366666666667,55.933333333333
4284,Acadiau,Acadia University,academic institution,45.0877777777778,-64.3661111111111
4287,Chimikeppuko,Lake Chimikeppu,landform,43.63666667,143.87583333
